"","Country","GiniIndex","logGDP_pc_2019","unem","growth13.18","edu.GDP","edu_US.m","health.GDP","Birth_rate","LE.both","IncomeTax","Gender_gap","Net","CPI.2019"
"1","Albania",29,8.58909367170881,14,2.67,2.46866,371.75218,NA,11.78,78.96,16.68116194,0.704,66.363444701023,21
"2","Algeria",35.3,8.28906674608019,11.7,2.97,NA,NA,6.374321878,24.282,77.5,NA,0.642,42.9455268800332,21
"3","Angola",42.7,8.01894678319035,6.6,2.37,NA,NA,2.791500278,40.729,62.22,39.41385276,0.643,13,13
"4","Argentina",41.7,9.19905573933818,8.1,0.15,5.46223,35105.55042,9.124314785,17.021,77.17,12.92991285,0.735,70.9689808206024,31
"5","Armenia",31.5,8.41794550981616,18.9,3.92,2.70759,312.11636,10.36270484,13.987,75.55,40.13859154,0.669,64.3460297653742,28
"6","Australia",30.3,10.8934963691392,5.6,2.59,5.27163,63788.17877,9.205947816,12.6,83.94,65.18763143,0.721,88.2386580521762,57
"7","Austria",30.5,10.8202304221806,5.5,1.53,5.5007,21675.65731,10.39661691,9.7,82.05,27.03991605,0.716,84.3233312921004,57
"8","Azerbaijan",33.7,8.45305523004389,6,1.17,2.47382,1010.94115,6.651829183,14,73.33,13.48149289,0.684,78.2,16
"9","Bangladesh",32.1,7.55261306996412,4,6.72,1.98602,4959.55511,2.274248749,18.184,73.57,25.17086572,0.698,18.2469380029449,13
"10","Belarus",26.5,8.79541869109626,1,0.41,4.79499,2624.13606,5.92578575,9.9,75.2,2.933100635,0.737,71.1130457603832,31
"11","Belgium",25.9,10.7183120650169,7.3,1.26,6.53645,30740.99927,10.33866927,10.3,82.17,33.96097079,0.745,86.5165,55
"12","Benin",36.5,7.1038416643518,1,5.19,4.03814,418.31007,3.718582168,36.221,62.84,NA,0.636,11.994047908223,27
"13","Bhutan",38.8,8.13828782976741,3.2,NA,6.64043,167.87057,3.186962381,17.259,72.77,24.48879057,0.642,41.7726445321672,50
"14","Bolivia",47,8.20820821481556,4,4.98,NA,NA,6.443160772,21.75,72.35,NA,0.746,39.6975146032685,17
"15","Bosnia and Herzegovina",33.8,8.65552071419899,20.5,2.66,NA,NA,8.931667358,8.111,77.93,8.438846331,0.685,60.26,22
"16","Botswana",60.5,8.9694375542812,20,4.11,NA,NA,6.134568155,24.821,69.86,30.09868926,0.715,39.36299738,44
"17","Brazil",49,9.08215568876357,11.8,-0.22,6.24106,112477.2584,9.467476606,13.924,76.57,22.59926974,0.687,60.8725400681261,21
"18","Bulgaria",40.2,9.16098593363402,6.2,2.81,4.01326,2264.90364,8.095603436,8.9,75.49,16.941669,0.726,59.825547661014,29
"19","Burkina Faso",39.5,6.57641664285657,77,5.41,6.03609,871.71762,6.915059686,37.93,62.98,21.77372698,0.64,13.96,26
"20","Burundi",42.4,5.73615285468665,NA,0.85,5.01084,154.23509,7.517570257,39.008,62.71,NA,0.768,5.17362677652886,7
"21","Cambodia",37.9,7.39057764601809,0.3,7.03,2.16286,531.45181,5.918841809,22.464,70.54,18.48473577,0.658,32.3984517141849,8
"22","Cameroon",44.6,7.32290599643918,4.3,4.71,3.14529,1210.99954,4.670666903,35.386,60.32,20.38927583,0.684,25,12
"23","Canada",32.1,10.7410130038126,6.5,2.13,NA,NA,10.57276949,10.1,82.96,55.42567024,0.731,91.16,57
"24","Central African Republic",43.6,6.10477537511269,6.9,-4.42,NA,NA,5.821775645,35.348,54.36,6.271811708,NA,4,12
"25","Chad",43.3,6.75838017790489,NA,1.5,2.24185,253.38654,4.487301409,42.172,55.17,NA,0.587,5,8
"26","Chile",50.5,9.64207311184319,7,2.46,5.40274,15005.93091,8.983509988,12.428,80.74,36.67938408,0.699,83.56,49
"27","China",46.5,9.22017832027704,3.9,7.01,NA,NA,5.151193216,10.9,77.47,21.23232322,0.676,53.2,27
"28","Colombia",51.1,8.78080698259228,10.5,3.15,4.50259,14868.81103,7.226280868,14.882,77.87,24.18714282,0.727,58.1364935728703,23
"29","Comoros",55.9,7.20770726719645,6.5,2.33,2.48708,24.57611,7.384373993,31.881,65.03,NA,NA,7.938322770803,12
"30","Costa Rica",48.5,9.39389408601919,8.1,3.34,7.02824,4225.79784,7.328796387,13.971,80.94,16.49355513,0.736,66.028712851114,40
"31","Croatia",30.8,9.61245045828756,12.4,1.71,4.55695,2650.22644,6.789133698,9,79.02,7.327556112,0.7,72.6973060458944,33
"32","Cyprus",34.8,10.2298982699801,11.8,0.91,6.29136,1286.82019,6.684569269,10.462,81.51,23.304,0.684,75.9003601905124,41
"33","Czech Republic",25,10.0525088423638,NA,2.89,5.58738,10900.42841,7.231339067,10.7,NA,15.19933134,0.69,76.4812013779572,40
"34","Denmark",29,10.9986818230967,5.8,1.72,7.63485,26950.54759,10.10827944,10.6,81.4,44.87777412,0.754,96.9677852516645,64
"35","Djibouti",40.9,7.98487593478687,40,7.66,5.55942,109.29725,3.316517919,21.466,67.87,NA,NA,13.1349151074,16
"36","Dominican Republic",47.1,9.06291333769915,5.5,5.82,NA,NA,6.136395037,19.506,74.65,26.11362335,0.676,63.87,14
"37","Ecuador",45.9,8.74023945799844,4.6,1.87,4.9987,4963.22364,8.257429302,19.719,77.71,NA,0.726,54.0629247288864,24
"38","Egypt",31.8,8.02177952429214,11.9,3.88,NA,NA,NA,NA,72.54,NA,0.614,41.2480670885772,21
"39","El Salvador",36,8.29605363077073,7,2.36,3.43116,938.24687,7.227560133,18.253,74.06,27.14057478,0.702,28.997073045597,20
"40","Estonia",34.8,10.0657592814824,5.9,2.85,4.92461,1240.74603,6.429357827,10.9,79.18,19.90837331,0.747,87.2373320920335,54
"41","Ethiopia",33,6.85980271392861,17.5,9.4,4.73792,2634.86215,3.502557427,32.339,67.81,21.63409533,0.662,15.3669238595896,23
"42","Faroe Islands",22.7,NA,2.2,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA
"43","Finland",27.2,10.796893248169,8.6,1.01,6.89735,16485.31958,9.206938744,8.6,82.48,16.028617,0.845,87.7036499599455,63
"44","France",29.3,10.6397087339455,9.5,1.18,NA,NA,11.31289229,11.3,83.13,25.91072845,0.755,79.27,51
"45","Gabon",42.2,9.00113917278468,28,3.16,2.66667,484.79314,2.780745924,31.611,67.03,28.76029363,NA,48.0522737506185,17
"46","Georgia",40.1,8.36388395747407,11.5,4.03,3.84974,580.59135,7.601659,13.472,74.24,34.11321681,0.681,59.26,40
"47","Germany",27,10.7485827531341,3.8,1.7,4.80093,167800.2395,11.2468347,9.5,81.88,17.81657274,0.766,89.6471005903368,59
"48","Ghana",42.3,7.70680317926342,11.9,5.58,3.98944,2615.33564,3.262370452,29.407,64.94,NA,0.705,34.66600065,27
"49","Greece",36.7,9.90220543096943,22.3,0.04,NA,NA,8.041390032,8.1,82.8,19.40219376,0.68,69.0879154723892,34
"50","Greenland",33.9,NA,9.1,NA,NA,NA,NA,14.6,NA,NA,NA,68.500873675421,NA
"51","Guatemala",53,8.43746858314372,2.3,3.42,2.92707,2296.59094,5.813843757,24.561,75.05,35.77543384,0.666,34.5093260915602,13
"52","Guinea",39.4,6.88858876932023,2.8,6.68,2.57251,282.71334,4.123086855,36.364,62.64,NA,0.64,9.8,15
"53","Guyana",44.6,8.56637318435446,11.1,3.64,5.88842,212.5976,4.945509881,19.967,70.26,NA,NA,35.66,26
"54","Haiti",60.8,6.66451105596092,40.6,2.14,2.78047,268.54054,8.035501093,24.349,64.99,NA,NA,12.2326016070408,6
"55","Honduras",47.1,7.84324374936178,5.9,3.6,6.0812,1447.52304,7.858425379,21.599,75.87,NA,0.69,30,13
"56","Hong Kong",53.9,NA,3.1,2.98,NA,NA,NA,NA,85.29,NA,NA,87.477846264841,56
"57","Hungary",28.2,9.76785589876357,4.4,3.31,4.71078,5935.964,6.879989803,9.6,77.31,17.37194566,0.669,79.2594013161699,30
"58","Iceland",28,11.1130050565645,2.8,4.26,7.45988,1545.39034,8.326291293,12,83.52,32.05463136,0.874,98.2400162999185,58
"59","India",35.2,7.68323930290359,8.8,7.16,3.84467,70266.65833,3.534959629,17.857,70.42,44.15729342,0.683,29.5471628858754,27
"60","Indonesia",36.8,8.33417259034776,5.6,5.12,3.5836,30849.57429,2.989054471,18.072,72.32,38.81973265,0.682,25.45,26
"61","Iran",44.5,8.61363527582932,12.4,2.73,NA,NA,NA,NA,77.33,NA,NA,53.2267726333568,13
"62","Ireland",31.3,11.2615265259755,6.4,8.6,3.70512,11178.64969,7.184383273,12.5,82.81,42.85395386,0.797,85.0111321151019,54
"63","Israel",42.8,10.6648377894278,4.3,3.58,5.8493,18681.35779,7.407464087,20.8,83.49,31.73744239,0.719,79.6531241815281,43
"64","Italy",31.9,10.4026410411944,11.1,0.46,3.82926,71576.566,8.840259165,7.3,84.01,31.12863533,0.719,61.3242527666303,37
"65","Jamaica",35,8.60538427228154,10.4,0.84,5.35813,799.25987,5.988416821,16.103,74.88,28.12930209,0.724,44.3668563671334,29
"66","Japan",37.9,10.6175831987667,2.9,1.25,3.18618,139856.572,10.93593314,7.4,85.03,48.60543241,0.66,93.1827212821617,53
"67","Jordan",39.7,8.38631085836163,18.5,2.43,3.58851,1517.61072,8.119250834,21.979,75.01,12.63130959,0.603,62.3021925670712,34
"68","Kazakhstan",26.3,9.12031817610774,5,3.34,2.75095,4691.43604,3.125361726,21.77,73.9,30.67444175,0.718,74.5877264735738,20
"69","Kenya",48.5,7.59967620800289,40,5.6,5.32024,4190.08054,4.802543297,28.748,67.47,34.97815769,0.702,16.6,14
"70","Kyrgyzstan",33.4,NA,7.4,5.06,NA,NA,NA,NA,71.95,NA,NA,34.5,16
"71","Laos",36.7,NA,1.5,7.25,NA,NA,NA,NA,68.89,NA,NA,21.87,15
"72","Latvia",34.5,9.80761802132397,9,2.95,4.61733,1307.10655,5.955661833,10,75.73,10.26803445,0.755,79.8420977843089,40
"73","Lesotho",63.2,7.19932129913463,28.1,2.68,6.51166,167.88796,8.763158321,26.808,55.65,23.38210052,0.706,27.36,26
"74","Liberia",32,6.55653116651829,2.8,2.14,2.58412,84.9,8.155337721,33.042,65,NA,0.652,7.31910641139578,14
"75","Lithuania",37.9,9.86613806355038,7,3.12,3.9147,1722.57576,6.457564235,10,76.41,16.60343214,0.744,74.3766455618662,43
"76","Luxembourg",30.4,11.6368804107008,6.1,3.6,3.95519,2262.54133,5.481074378,10.3,82.79,30.81976317,0.734,98.1366986657616,59
"77","Macau",35,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Madagascar",41,6.13960218477811,2.1,3.65,3.23481,391.4274,5.502038077,32.657,68.21,18.12589208,0.704,4.713662899498,11
"79","Malawi",46.1,5.9155198892793,20.4,3.91,4.71484,297.19043,9.648231417,34.118,65.62,42.02096274,0.7,11.47,17
"80","Malaysia",46.2,9.31801129658258,3.4,5.09,4.53477,16068.88366,3.859398142,16.752,76.65,51.16815168,0.666,78.7883099275229,37
"81","Maldives",38.4,9.65261977449215,2.9,6.05,4.06728,179.53189,9.029976279,14.199,79.89,NA,0.65,59.0925899654109,15
"82","Mali",40.1,6.82890469378149,8.1,5.24,3.75461,580.88689,3.793985024,41.543,60.54,22.75036496,0.591,11.1121864890589,15
"83","Malta",28.1,10.3303934225891,4.4,6.58,5.20105,556.98386,9.340999275,9.2,83.06,34.57050735,0.664,77.2893948185413,38
